Sector,Year_2004,Year_2025,Change_2004_2025
Regional,100,228.00681491463152,128.00681491463152
Long distance,100,225.76965235865805,125.76965235865805
All operators,100,224.6373078398845,124.6373078398845
London and South East,100,217.76219401459298,117.76219401459298
